NMFS_DNA_ID	GENOTYPE_NUMBER	BOX_ID	BOX_POSITION	SAMPLE_ID	BATCH_ID	PROJECT_NAME	GENUS	SPECIES	LENGTH	WEIGHT	SEX	AGE	REPORTED_LIFE_STAGE	PHENOTYPE	HATCHERY_MARK	TAG_NUMBER	COLLECTION_DATE	ESTIMATED_DATE	PICKER	PICK_DATE	LEFTOVER_SAMPLE	SAMPLE_COMMENTS	NMFS_DNA_ID	STATE_F	COUNTY_F	WATERSHED	TRIB_1	TRIB_2	WATER_NAME	REACH_SITE	HATCHERY	STRAIN	LATITUDE_F	LONGITUDE_F	LOCATION_COMMENTS_F	Sample_ID	OmyY1	OmyY1	R18251	R18251	R23044	R23044	R30220	R30220	R34286	R34286	R38993	R38993	SH114448	SH114448	R000200	R000200	R033859	R033859	R09768	R09768	R12730	R12730	R24463	R24463	R00586	R00586	R19198	R19198	R23330	R23330	R30355	R30355	R34385	R34385	R39365	R39365	SH121006	SH121006	R018277	R018277	R03418	R03418	R10226	R10226	R13191	R13191	R24493	R24493	R12738	R12738	R19633	R19633	R23813	R23813	R30423	R30423	R34662	R34662	R40094	R40094	SH127236	SH127236	R02551	R02551	R03924	R03924	R10530	R10530	R16543	R16543	R26255	R26255	R13730	R13730	R19731	R19731	R24068	R24068	R30589	R30589	R35324	R35324	R40152	R40152	OMS00116	OMS00116	R02676	R02676	R04143	R04143	R11238	R11238	R19868	R19868	R27050	R27050	R14225	R14225	R21285	R21285	R24273	R24273	R30678	R30678	R37205	R37205	R40252	R40252	OMS00143	OMS00143	R02783	R02783	R04203	R04203	R11353	R11353	R19948	R19948	R30551	R30551	R14383	R14383	R21330	R21330	R24370	R24370	R33010	R33010	R37229	R37229	R40319	R40319	OMS00144	OMS00144	R02785	R02785	R04760	R04760	R11790	R11790	R20353	R20353	R32124	R32124	R14511	R14511	R21561	R21561	R28680	R28680	R33411	R33411	R37560	R37560	R40342	R40342	OMS00159	OMS00159	R03042	R03042	R04944	R04944	R12528	R12528	R21023	R21023	R32692	R32692	R14589	R14589	R22570	R22570	R30015	R30015	R33562	R33562	R38346	R38346	R40580	R40580	OMS00169	OMS00169	R03306	R03306	R08985	R08985	R12611	R12611	R22488	R22488	R36639	R36639
M008172	001	M070	2A	WA-06	A009	Clemento MS Thesis	Oncorhynchus	mykiss					Juvenile				6/8/02		Anthony Clemento	6/18/02	No		M008172	California	Humboldt	Eel River	Middle Fork Eel River		North Fork Middle Fork Eel River	above Willow Creek barrier						M008172_M070_2A	0	0	4	4	2	2	1	1	4	4	3	3	4	4	1	1	3	3	2	2	2	2	0	0	3	3	3	3	4	4	3	3	2	2	1	1	2	2	4	4	4	4	2	2	3	3	4	4	1	1	2	4	2	2	2	3	0	0	3	3	3	2	2	2	4	4	3	3	2	2	1	3	1	1	2	4	2	2	4	4	3	3	3	3	1	1	1	1	1	1	1	1	1	1	4	4	2	2	2	2	4	4	2	2	3	3	4	4	2	2	3	3	2	2	1	1	1	1	1	1	1	1	2	2	3	3	1	1	0	0	2	2	2	2	4	4	4	4	1	1	1	1	0	0	4	4	1	1	1	1	1	1	1	1	2	2	2	2	1	1	4	4	4	4	2	2	3	3	4	4	0	0	3	3	1	1	1	1	4	4	1	1	2	2	4	4	3	3	4	4	3	3
M008173	001	M070	2B	WA-07	A009	Clemento MS Thesis	Oncorhynchus	mykiss					Juvenile				6/8/02		Anthony Clemento	6/18/02	No		M008173	California	Humboldt	Eel River	Middle Fork Eel River		North Fork Middle Fork Eel River	above Willow Creek barrier						M008173_M070_2B	0	0	2	4	2	2	1	2	3	4	4	4	2	4	1	1	3	3	2	2	4	2	0	0	1	3	1	3	3	4	3	3	1	2	1	1	1	2	4	4	1	4	2	4	3	4	4	2	1	1	2	2	2	2	0	0	0	0	3	3	3	2	1	2	4	4	3	3	1	2	1	3	1	2	4	4	1	2	3	4	3	3	3	3	1	1	1	3	1	3	1	3	1	2	3	4	2	4	2	4	4	4	2	2	3	3	1	4	2	2	1	3	1	2	1	3	1	1	1	2	1	2	1	2	1	3	1	3	0	0	2	4	2	2	3	4	4	4	1	1	1	3	0	0	2	4	1	3	1	4	1	3	1	3	2	4	2	2	1	1	2	4	4	2	2	3	3	3	1	4	0	0	2	3	1	3	1	1	2	4	1	1	2	2	4	2	1	3	4	2	3	3
M008174	001	M070	2C	WA-08	A009	Clemento MS Thesis	Oncorhynchus	mykiss					Juvenile				6/8/02		Anthony Clemento	6/18/02	No		M008174	California	Humboldt	Eel River	Middle Fork Eel River		North Fork Middle Fork Eel River	above Willow Creek barrier						M008174_M070_2C	0	0	4	4	2	2	1	1	4	4	3	3	4	4	1	1	3	3	2	2	2	2	0	0	3	3	3	3	4	4	3	3	2	2	1	1	2	2	4	4	4	4	2	2	3	3	4	4	1	1	2	4	2	2	2	3	0	0	3	3	3	3	2	2	4	4	3	3	2	2	1	1	1	1	2	4	2	2	4	4	1	1	3	3	1	1	1	1	1	1	1	1	1	1	4	4	2	2	2	2	1	4	3	3	3	3	4	4	2	2	3	3	2	2	1	1	3	3	1	1	1	1	1	2	3	3	1	1	0	0	2	2	2	2	4	4	4	4	1	1	1	1	0	0	4	4	1	1	1	1	1	3	1	1	2	2	2	2	1	1	4	4	4	4	2	2	3	3	4	4	0	0	3	3	1	1	1	1	4	4	1	1	2	2	4	4	3	3	4	4	3	3
M008175	001	M070	2D	WA-09	A009	Clemento MS Thesis	Oncorhynchus	mykiss					Juvenile				6/8/02		Anthony Clemento	6/18/02	No		M008175	California	Humboldt	Eel River	Middle Fork Eel River		North Fork Middle Fork Eel River	above Willow Creek barrier						M008175_M070_2D	0	0	4	4	2	2	1	1	4	4	3	3	4	4	1	1	3	3	2	2	2	2	0	0	3	3	3	3	4	4	3	3	2	2	1	1	2	2	4	4	4	4	2	2	3	3	4	4	1	1	2	4	2	2	2	2	0	0	3	3	3	3	2	2	4	4	3	3	2	2	1	3	1	1	2	4	2	2	4	4	1	1	3	3	1	4	1	1	1	1	1	1	1	1	4	4	2	2	2	2	1	4	3	3	3	3	4	4	2	2	3	3	2	2	1	1	1	3	1	1	1	1	2	2	3	3	1	1	0	0	2	2	2	2	4	4	4	4	1	1	1	1	0	0	4	4	1	1	1	1	1	1	1	1	2	2	2	2	1	4	4	4	4	4	2	2	3	3	4	4	0	0	3	3	1	1	1	1	4	4	1	1	2	2	4	4	3	3	4	4	3	3
M008176	001	M070	2E	WA-10	A009	Clemento MS Thesis	Oncorhynchus	mykiss					Juvenile				6/8/02		Anthony Clemento	6/18/02	No		M008176	California	Humboldt	Eel River	Middle Fork Eel River		North Fork Middle Fork Eel River	above Willow Creek barrier						M008176_M070_2E	0	0	4	4	2	2	1	1	4	4	3	4	4	4	1	1	3	3	2	2	2	2	0	0	3	3	3	3	4	4	3	3	2	2	1	1	2	2	4	4	4	4	2	2	3	3	4	4	1	1	4	4	2	2	2	2	0	0	3	3	3	2	2	2	4	4	3	3	2	2	1	1	1	1	4	4	2	2	4	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	4	2	2	2	2	1	4	2	2	3	3	4	4	2	2	3	3	2	2	1	1	1	3	1	1	1	1	1	2	3	3	1	1	0	0	2	2	2	2	4	4	4	4	1	1	1	1	0	0	4	4	1	1	1	1	1	1	1	1	2	2	2	2	1	4	4	4	4	4	2	2	3	3	4	4	0	0	3	3	1	1	1	1	4	4	1	1	0	0	4	4	3	3	4	4	3	3
M008177	001	M070	2F	WA-11	A009	Clemento MS Thesis	Oncorhynchus	mykiss					Juvenile				6/8/02		Anthony Clemento	6/18/02	No		M008177	California	Humboldt	Eel River	Middle Fork Eel River		North Fork Middle Fork Eel River	above Willow Creek barrier						M008177_M070_2F	0	0	4	4	2	2	1	1	4	4	3	3	4	4	1	1	3	3	2	2	2	2	0	0	3	3	3	3	4	4	3	3	2	2	1	1	2	2	4	4	4	4	2	2	3	3	4	4	1	1	2	2	2	2	2	3	0	0	3	3	3	2	2	2	4	4	3	3	2	2	0	0	1	1	4	4	2	2	4	4	1	1	1	3	1	4	1	1	1	1	1	1	1	1	4	4	2	2	2	2	4	4	2	3	3	3	4	4	2	2	3	3	2	2	1	1	3	3	1	1	1	1	1	1	3	3	1	1	0	0	2	2	2	2	4	4	4	4	1	1	1	1	0	0	4	4	1	1	1	1	1	3	1	1	2	2	2	2	4	4	4	4	4	4	2	2	3	3	4	4	0	0	3	3	1	1	1	1	4	4	1	1	2	2	4	4	3	3	4	4	3	3
M008178	001	M070	2G	WA-12	A009	Clemento MS Thesis	Oncorhynchus	mykiss					Juvenile				6/8/02		Anthony Clemento	6/18/02	No		M008178	California	Humboldt	Eel River	Middle Fork Eel River		North Fork Middle Fork Eel River	above Willow Creek barrier						M008178_M070_2G	0	0	4	4	2	2	1	1	4	4	3	3	4	4	1	1	3	3	2	2	2	2	0	0	3	3	3	3	4	4	3	3	2	2	1	1	2	2	4	4	4	4	2	2	3	3	4	4	1	1	4	4	2	2	2	2	0	0	3	3	3	3	2	2	4	4	3	3	2	2	1	3	1	1	4	4	2	2	4	4	1	1	1	1	1	4	1	1	1	1	1	1	1	1	4	4	2	2	2	2	4	4	2	2	3	3	4	4	2	2	3	3	2	2	1	1	3	3	1	1	1	1	1	2	3	3	1	1	0	0	2	2	2	2	4	4	4	4	1	1	1	1	0	0	4	4	1	1	1	1	1	1	1	1	2	2	2	2	1	1	4	4	4	4	2	2	3	3	4	4	0	0	3	3	1	1	1	1	4	4	1	1	2	2	4	4	3	3	4	4	3	3
M008179	001	M070	2H	WA-13	A009	Clemento MS Thesis	Oncorhynchus	mykiss					Juvenile				6/8/02		Anthony Clemento	6/18/02	No		M008179	California	Humboldt	Eel River	Middle Fork Eel River		North Fork Middle Fork Eel River	above Willow Creek barrier						M008179_M070_2H	0	0	4	4	2	2	1	1	4	4	3	3	4	4	1	1	3	3	2	2	2	2	0	0	3	3	3	3	4	4	3	3	2	2	1	1	2	2	4	4	4	4	2	2	3	3	4	4	1	1	2	4	2	2	2	2	0	0	3	3	3	3	2	2	4	4	3	3	2	2	1	3	1	1	4	4	2	2	4	4	3	3	1	3	1	4	1	1	1	1	1	1	1	1	4	4	2	2	2	2	1	4	3	3	3	3	4	4	2	2	3	3	2	2	1	1	1	3	1	1	1	1	2	2	3	3	1	1	0	0	2	2	2	2	4	4	4	4	1	1	1	1	0	0	4	4	1	1	1	1	1	1	1	1	2	2	2	2	4	4	4	4	4	4	2	2	3	3	4	4	0	0	3	3	1	1	1	1	4	4	1	1	2	2	4	4	3	3	4	4	3	3
M008180	001	M070	3A	WA-14	A009	Clemento MS Thesis	Oncorhynchus	mykiss					Juvenile				6/8/02		Anthony Clemento	6/18/02	No		M008180	California	Humboldt	Eel River	Middle Fork Eel River		North Fork Middle Fork Eel River	above Willow Creek barrier						M008180_M070_3A	0	0	4	4	2	2	1	1	4	4	3	4	4	4	1	1	3	3	2	2	2	2	0	0	3	3	3	3	3	4	3	3	2	2	1	1	2	2	4	4	4	4	2	2	3	3	4	4	1	1	2	2	2	2	2	2	0	0	3	3	3	2	2	2	4	4	3	3	2	2	1	3	1	1	4	4	2	2	4	4	1	1	3	3	4	4	1	1	1	1	1	1	1	2	4	4	2	2	2	2	1	4	2	2	3	3	4	4	4	2	3	3	2	2	3	3	1	3	1	1	1	1	1	1	3	3	1	1	0	0	2	2	2	2	4	4	4	4	1	1	1	1	0	0	4	4	1	1	1	1	1	1	1	1	2	2	2	2	1	4	4	4	4	4	2	2	3	3	4	4	0	0	3	3	1	1	1	1	4	4	1	1	1	2	4	4	3	3	4	4	3	3
M008181	001	M070	3B	WA-15	A009	Clemento MS Thesis	Oncorhynchus	mykiss					Juvenile				6/8/02		Anthony Clemento	6/18/02	No		M008181	California	Humboldt	Eel River	Middle Fork Eel River		North Fork Middle Fork Eel River	above Willow Creek barrier						M008181_M070_3B	0	0	4	4	2	2	1	1	4	4	4	4	4	4	1	1	3	3	2	2	2	2	0	0	3	3	3	3	4	4	3	3	2	2	1	1	2	2	4	4	4	4	2	2	3	3	4	4	1	1	0	0	2	2	2	2	0	0	3	3	3	2	2	2	4	4	3	3	2	2	1	3	1	1	2	4	2	2	4	4	1	1	1	1	1	4	1	1	1	1	1	1	1	1	4	4	2	2	2	2	4	4	2	3	3	3	4	4	2	2	3	3	2	2	1	1	3	3	1	1	1	1	1	1	3	3	1	1	0	0	2	2	2	2	4	4	4	4	1	1	1	1	0	0	4	4	1	1	1	1	1	1	1	1	2	2	2	2	1	4	4	4	4	4	2	2	3	3	4	4	0	0	3	3	1	1	1	1	4	4	1	1	0	0	4	4	3	3	4	4	3	3
